hum,rodada,corpo_vel,cabeca_rel_vel,focinho_visivel,orelhas_visiveis,focinho_cauda,pescoco_cauda,curvatura_graus,var_compr
object_interaction,1,12.183090688533072,11.218311856183949,1.0,1.0,61.25342249903888,44.95229315402713,8.944685397617125,2.809047752840024
object_interaction,1,6.3571025706450035,7.555590949840142,1.0,1.0,38.42580105197662,23.98561594170538,65.61808762194275,1.2960633596378366
object_interaction,1,7.052572086720905,8.417516141742134,1.0,1.0,47.679142451673286,30.773081285598987,5.225885400484256,1.0721878035524517
still,1,5.201759520824001,4.22194230899786,1.0,1.0,43.00862179017384,32.43034271057883,50.02157842150583,0.2786424108818235
walking,1,54.48546824257369,38.038152576054394,0.9222222222222223,1.0,57.850557715548426,43.18085146117784,10.62435655097746,3.030721009377636
still,1,5.378091239631674,4.92393510250677,1.0,1.0,48.94949426177291,35.78725543600419,38.138792958425064,0.7540384739369794
still,1,4.232035673998714,5.291381526104158,1.0,1.0,49.40480735544778,32.01566503010211,2.6288223444811325,0.41430893273688013
object_interaction,1,5.368730472001805,7.991825173087506,0.7888888888888889,1.0,32.89835998951925,16.852905621311255,104.26802707874624,1.5203318436335977
object_interaction,1,7.263197192675954,10.09815568195544,1.0,1.0,49.339275224992335,32.688354453201676,9.344143510608538,3.259113058977215
object_interaction,1,11.508636092691594,11.15854380116394,1.0,1.0,51.56330813577265,36.58758259698985,11.69128021261869,2.343997530191637
still,1,5.286371591337542,6.268531963163275,1.0,1.0,56.053487240093105,37.717538068936875,6.2549677680352325,1.0229648860214309
object_interaction,1,8.022225033305933,11.10816127171337,1.0,1.0,51.05600968384918,33.55802923583534,11.169304310918825,0.9392570171587088
object_interaction,1,6.524380204494272,8.055298220289915,1.0,1.0,47.714405932157774,33.9421467904164,14.379874991590624,1.647161952929885
still,1,5.867464724742872,4.718252781113907,1.0,1.0,45.3166601382951,31.019445223645597,21.492200611346664,0.422516519313705
object_interaction,1,8.699408786307876,11.431306046839099,0.9333333333333333,1.0,58.57311663805944,41.71799499483723,11.593424361574774,2.2985968818538614
still,1,3.3374525256405767,3.873557284267218,1.0,1.0,51.891269024000295,36.42705444511306,15.802763241107932,0.2364218655609248
object_interaction,1,4.572070597191306,10.816554573069476,1.0,1.0,36.78073511200881,18.660084561280257,96.21145312825303,0.5307061917165248
object_interaction,1,11.317594238375369,13.780628363253133,1.0,1.0,54.08288622316363,40.74087987564881,4.566904891579149,0.722062883997522
object_interaction,1,11.305524590698303,12.720349811676309,0.8444444444444444,0.9777777777777777,51.7799407320928,36.0491148187575,8.72899201789375,2.3436303032059036
object_interaction,1,7.061354315044221,8.55033122484813,0.24444444444444444,1.0,47.0989117989413,36.01936059647737,8.615202863449042,1.3179399536644367
